split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.08544921875,0.11666666666666667,0.5188370826532419,6.032748358475326,4.130341461421347,5.83093196929173,True
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.08056640625,0.11,0.5159210164149425,5.147323024471903,4.130341461421347,5.83093196929173,False
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.08447265625,0.11533333333333333,0.5192629635627083,5.841845451289545,4.130341461421347,5.83093196929173,True
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.07958984375,0.10866666666666666,0.517841687520414,5.003362165229046,4.130341461421347,5.83093196929173,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.078125,0.10666666666666667,0.5160795301939093,4.783987570825387,4.130341461421347,5.83093196929173,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.0791015625,0.108,0.5170923703196726,4.927927271608217,4.130341461421347,5.83093196929173,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.080078125,0.10933333333333334,0.5165816781139106,5.073348684197525,4.130341461421347,5.83093196929173,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.0771484375,0.10533333333333333,0.5185558620822381,4.659237184132583,4.130341461421347,5.83093196929173,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.0869140625,0.11866666666666667,0.5201042468201581,6.344166286657943,4.130341461421347,5.83093196929173,True
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.08154296875,0.11133333333333334,0.5173097864443023,5.310704115941972,4.130341461421347,5.83093196929173,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.0751953125,0.10266666666666667,0.5154359299603173,4.39928868080634,4.130341461421347,5.83093196929173,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.08203125,0.112,0.5178035326077477,5.394606114478698,4.130341461421347,5.83093196929173,False
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.07958984375,0.10866666666666666,0.5180359157526938,5.004061386865253,4.130341461421347,5.83093196929173,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.08837890625,0.12066666666666667,0.5190583667359474,6.670601049624773,4.130341461421347,5.83093196929173,True
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.08154296875,0.11133333333333334,0.5179734379051009,5.313093261200847,4.130341461421347,5.83093196929173,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.08447265625,0.11533333333333333,0.5165952177500298,5.832241566363901,4.130341461421347,5.83093196929173,True
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.080078125,0.10933333333333334,0.5186868965845931,5.080927470691981,4.130341461421347,5.83093196929173,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.0751953125,0.10266666666666667,0.5171112942542538,4.405319992264511,4.130341461421347,5.83093196929173,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.0791015625,0.108,0.5162288396917628,4.924818561347742,4.130341461421347,5.83093196929173,False
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.5159524410729155,5.47208835685011,4.130341461421347,5.83093196929173,False
heldout_benign_stream_20,0,0,1500,0.0,0,1500,0.083984375,0.11466666666666667,0.5192551399354501,5.749062238979772,4.130341461421347,5.83093196929173,False
heldout_benign_stream_21,0,0,1500,0.0,0,1500,0.080078125,0.10933333333333334,0.5177533642653672,5.077566754342768,4.130341461421347,5.83093196929173,False
