split,batch_id,label,size,attacker_ratio,attacker_count,score,w_statistic,p_value,suspicious,distances_used
heldout_benign,0,0,1500,0.0,0,0.002787409856225609,0.9972125901437744,0.5494505494505495,False,1483
heldout_benign,1,0,1500,0.0,0,0.0014355258126753645,0.9985644741873246,0.34165834165834164,False,1486
heldout_benign,2,0,1500,0.0,0,0.0027070497477909017,0.9972929502522091,0.5794205794205795,False,1482
heldout_benign,3,0,1500,0.0,0,0.00450221017421748,0.9954977898257825,0.11788211788211789,False,1480
heldout_benign,4,0,1500,0.0,0,0.0014730937821015866,0.9985269062178984,0.3676323676323676,False,1488
heldout_benign,5,0,1500,0.0,0,0.004011617147496538,0.9959883828525035,0.1918081918081918,False,1486
heldout_benign,6,0,1500,0.0,0,0.003039019664659137,0.9969609803353409,0.41358641358641357,False,1486
heldout_benign,7,0,1500,0.0,0,0.0019096356674164205,0.9980903643325836,0.8211788211788211,False,1488
heldout_benign,8,0,1500,0.0,0,0.002003999023510894,0.9979960009764891,0.9210789210789211,False,1492
heldout_benign,9,0,1500,0.0,0,0.002242737866252398,0.9977572621337476,0.8651348651348651,False,1488
heldout_benign,10,0,1500,0.0,0,0.005998644834163347,0.9940013551658367,0.025974025974025976,True,1484
heldout_benign,11,0,1500,0.0,0,0.0023045301442643495,0.9976954698557357,0.8211788211788211,False,1484
heldout_benign,12,0,1500,0.0,0,0.0007882645133502342,0.9992117354866498,0.025974025974025976,True,1483
heldout_benign,13,0,1500,0.0,0,0.0038732101570071453,0.9961267898429929,0.21178821178821178,False,1489
heldout_benign,14,0,1500,0.0,0,0.0021665561507051567,0.9978334438492948,0.919080919080919,False,1479
heldout_benign,15,0,1500,0.0,0,0.0023921931230467264,0.9976078068769533,0.7672327672327672,False,1488
heldout_benign,16,0,1500,0.0,0,0.003109171067168681,0.9968908289328313,0.3956043956043956,False,1484
heldout_benign,17,0,1500,0.0,0,0.004136396517263274,0.9958636034827367,0.1798201798201798,False,1479
heldout_benign,18,0,1500,0.0,0,0.0005991136605892899,0.9994008863394107,0.003996003996003996,True,1479
heldout_benign,19,0,1500,0.0,0,0.002926731555223827,0.9970732684447762,0.46153846153846156,False,1488
heldout_benign,20,0,1500,0.0,0,0.0025055176059688433,0.9974944823940312,0.6893106893106893,False,1484
heldout_benign,21,0,1500,0.0,0,0.0029706806466378577,0.9970293193533621,0.44155844155844154,False,1485
