split,stream_id,label,size,attacker_ratio,attacker_count,score,min_w_statistic,detection_step,suspicious,distances_seen,growing_set_size
heldout_benign,0,0,3000,0.0,0,0.09964171205049865,0.9003582879495013,111,True,110,89
heldout_benign,1,0,3000,0.0,0,0.032702338451986335,0.9672976615480137,231,True,230,157
heldout_benign,2,0,3000,0.0,0,0.04608449238937573,0.9539155076106243,341,True,340,205
heldout_benign,3,0,3000,0.0,0,0.03543779358773569,0.9645622064122643,311,True,310,191
heldout_benign,4,0,3000,0.0,0,0.21033261782984525,0.7896673821701548,211,True,210,141
heldout_benign,5,0,3000,0.0,0,0.03691836720658159,0.9630816327934184,311,True,310,181
heldout_benign,6,0,3000,0.0,0,0.10044537266409248,0.8995546273359075,121,True,120,94
heldout_benign,7,0,3000,0.0,0,0.05590965325255304,0.944090346747447,181,True,180,114
heldout_benign,8,0,3000,0.0,0,0.05621460767409503,0.943785392325905,221,True,220,146
heldout_benign,9,0,3000,0.0,0,0.05811299123215685,0.9418870087678431,141,True,140,89
heldout_benign,10,0,3000,0.0,0,0.03850865881839882,0.9614913411816012,281,True,280,179
heldout_benign,11,0,3000,0.0,0,0.23215285958327925,0.7678471404167208,201,True,200,150
heldout_benign,12,0,3000,0.0,0,0.06527877151242323,0.9347212284875768,211,True,210,144
heldout_benign,13,0,3000,0.0,0,0.039171940801832617,0.9608280591981674,281,True,280,188
heldout_benign,14,0,3000,0.0,0,0.0321524725232718,0.9678475274767282,261,True,260,166
heldout_benign,15,0,3000,0.0,0,0.18302916937215707,0.8169708306278429,461,True,460,230
heldout_benign,16,0,3000,0.0,0,0.23355825072929803,0.766441749270702,491,True,490,262
heldout_benign,17,0,3000,0.0,0,0.03947651273951058,0.9605234872604894,441,True,440,230
heldout_benign,18,0,3000,0.0,0,0.21570077480207417,0.7842992251979258,201,True,200,131
heldout_benign,19,0,3000,0.0,0,0.06706479464046944,0.9329352053595306,161,True,160,120
heldout_benign,20,0,3000,0.0,0,0.04468448539948211,0.9553155146005179,281,True,280,180
heldout_benign,21,0,3000,0.0,0,0.04060114311532448,0.9593988568846755,321,True,320,179
heldout_benign,22,0,3000,0.0,0,0.23787254679741965,0.7621274532025804,111,True,110,86
heldout_benign,23,0,3000,0.0,0,0.03681790932204543,0.9631820906779546,371,True,370,177
heldout_benign,24,0,3000,0.0,0,0.05310401668796716,0.9468959833120328,161,True,160,115
heldout_benign,25,0,3000,0.0,0,0.04686903382698293,0.9531309661730171,211,True,210,140
