split,batch_id,label,size,attacker_ratio,attacker_count,score,p_value,suspicious,similar_pair_count,total_pair_count
heldout_benign,0,0,1500,0.0,0,0.011146986880142318,0.017982017982017984,True,12532,1124250
heldout_benign,1,0,1500,0.0,0,0.010188125416944629,0.3156843156843157,False,11454,1124250
heldout_benign,2,0,1500,0.0,0,0.009458750277963087,0.8491508491508492,False,10634,1124250
heldout_benign,3,0,1500,0.0,0,0.00975138981543251,0.8031968031968032,False,10963,1124250
heldout_benign,4,0,1500,0.0,0,0.009453413386702246,0.8471528471528471,False,10628,1124250
heldout_benign,5,0,1500,0.0,0,0.010022681787858572,0.4855144855144855,False,11268,1124250
heldout_benign,6,0,1500,0.0,0,0.009632199243940405,0.9330669330669331,False,10829,1124250
heldout_benign,7,0,1500,0.0,0,0.01051456526573271,0.13386613386613386,False,11821,1124250
heldout_benign,8,0,1500,0.0,0,0.010561707805203468,0.11388611388611389,False,11874,1124250
heldout_benign,9,0,1500,0.0,0,0.009822548365577052,0.6973026973026973,False,11043,1124250
heldout_benign,10,0,1500,0.0,0,0.009653546808983766,0.913086913086913,False,10853,1124250
heldout_benign,11,0,1500,0.0,0,0.010119635312430509,0.3876123876123876,False,11377,1124250
heldout_benign,12,0,1500,0.0,0,0.010068045363575718,0.43756243756243757,False,11319,1124250
heldout_benign,13,0,1500,0.0,0,0.008819212808539026,0.2017982017982018,False,9915,1124250
heldout_benign,14,0,1500,0.0,0,0.008908160996219702,0.26573426573426573,False,10015,1124250
heldout_benign,15,0,1500,0.0,0,0.009818100956193017,0.7052947052947053,False,11038,1124250
heldout_benign,16,0,1500,0.0,0,0.009175895041138537,0.4675324675324675,False,10316,1124250
heldout_benign,17,0,1500,0.0,0,0.009875917278185457,0.6473526473526473,False,11103,1124250
heldout_benign,18,0,1500,0.0,0,0.010148098732488325,0.35764235764235763,False,11409,1124250
heldout_benign,19,0,1500,0.0,0,0.010092950856126307,0.4175824175824176,False,11347,1124250
heldout_benign,20,0,1500,0.0,0,0.01094596397598399,0.03596403596403597,True,12306,1124250
heldout_benign,21,0,1500,0.0,0,0.011227040249054925,0.013986013986013986,True,12622,1124250
heldout_benign,22,0,1500,0.0,0,0.010634645319101623,0.0919080919080919,True,11956,1124250
heldout_benign,23,0,1500,0.0,0,0.009847453858127641,0.6813186813186813,False,11071,1124250
heldout_benign,24,0,1500,0.0,0,0.010076050700466977,0.4275724275724276,False,11328,1124250
heldout_benign,25,0,1500,0.0,0,0.01082766288636869,0.053946053946053944,True,12173,1124250
heldout_benign,26,0,1500,0.0,0,0.010464754280631532,0.16183816183816183,False,11765,1124250
heldout_benign,27,0,1500,0.0,0,0.010012897487213698,0.4915084915084915,False,11257,1124250
heldout_benign,28,0,1500,0.0,0,0.011284856571047365,0.00999000999000999,True,12687,1124250
heldout_benign,29,0,1500,0.0,0,0.009961307538358905,0.5534465534465535,False,11199,1124250
heldout_benign,30,0,1500,0.0,0,0.011687791861240826,0.001998001998001998,True,13140,1124250
heldout_benign,31,0,1500,0.0,0,0.010234378474538581,0.2857142857142857,False,11506,1124250
heldout_benign,32,0,1500,0.0,0,0.009738937069157216,0.8231768231768232,False,10949,1124250
heldout_benign,33,0,1500,0.0,0,0.009577940849455192,0.973026973026973,False,10768,1124250
heldout_benign,34,0,1500,0.0,0,0.009374249499666445,0.7132867132867133,False,10539,1124250
