split,stream_id,label,attacker_ratio,attacker_count_per_batch,batch_size,stream_length_batches,total_queries,detected,alarm_batch,alarm_queries,max_cost,final_cost,final_bucket_coverage,final_new_bucket_rate,final_spread,threshold
heldout_benign,0,0,0.0,0,100,10,1000,False,-1,-1,29.298695356708727,29.298695356708727,0.123046875,0.14,0.7097538101842521,39.28247731303401
heldout_benign,1,0,0.0,0,100,10,1000,False,-1,-1,26.139549852794563,26.139549852794563,0.12060546875,0.11,0.7133070847812089,39.28247731303401
heldout_benign,2,0,0.0,0,100,10,1000,False,-1,-1,31.21614577919772,31.21614577919772,0.12451171875,0.09,0.712997776562712,39.28247731303401
heldout_benign,3,0,0.0,0,100,10,1000,False,-1,-1,25.739205058442664,25.739205058442664,0.1201171875,0.17,0.7145498419303413,39.28247731303401
heldout_benign,4,0,0.0,0,100,10,1000,False,-1,-1,23.41953492718502,23.41953492718502,0.1181640625,0.11,0.7151819208700647,39.28247731303401
heldout_benign,5,0,0.0,0,100,10,1000,False,-1,-1,25.70366574991211,25.70366574991211,0.1201171875,0.16,0.7124555895607427,39.28247731303401
heldout_benign,6,0,0.0,0,100,10,1000,False,-1,-1,29.944762065134174,29.944762065134174,0.12353515625,0.13,0.7122635789243288,39.28247731303401
heldout_benign,7,0,0.0,0,100,10,1000,False,-1,-1,21.575571264892798,21.575571264892798,0.1162109375,0.15,0.71350467977322,39.28247731303401
heldout_benign,8,0,0.0,0,100,10,1000,False,-1,-1,20.609698627932055,20.609698627932055,0.115234375,0.13,0.7120311272158987,39.28247731303401
heldout_benign,9,0,0.0,0,100,10,1000,False,-1,-1,24.426744222755453,24.426744222755453,0.119140625,0.1,0.7110217497710942,39.28247731303401
heldout_benign,10,0,0.0,0,100,10,1000,False,-1,-1,36.79681712907947,36.79681712907947,0.1279296875,0.15,0.7133747742099248,39.28247731303401
heldout_benign,11,0,0.0,0,100,10,1000,False,-1,-1,27.86294002327344,27.86294002327344,0.1220703125,0.08,0.7135561713975034,39.28247731303401
heldout_benign,12,0,0.0,0,100,10,1000,False,-1,-1,26.634903509238445,26.634903509238445,0.12109375,0.08,0.7111142755503573,39.28247731303401
heldout_benign,13,0,0.0,0,100,10,1000,False,-1,-1,32.75433965810149,32.75433965810149,0.12548828125,0.12,0.7138357460722977,39.28247731303401
heldout_benign,14,0,0.0,0,100,10,1000,False,-1,-1,19.74731755483053,19.74731755483053,0.1142578125,0.13,0.7115537013955057,39.28247731303401
heldout_benign,15,0,0.0,0,100,10,1000,False,-1,-1,24.489843236501837,24.489843236501837,0.119140625,0.12,0.7129936980339797,39.28247731303401
heldout_benign,16,0,0.0,0,100,10,1000,False,-1,-1,15.999799987410409,15.999799987410409,0.109375,0.12,0.710520999980151,39.28247731303401
heldout_benign,17,0,0.0,0,100,10,1000,False,-1,-1,22.579060280139963,22.579060280139963,0.1171875,0.17,0.7126090910780915,39.28247731303401
heldout_benign,18,0,0.0,0,100,10,1000,False,-1,-1,24.375160389680858,24.375160389680858,0.119140625,0.08,0.7122484628059293,39.28247731303401
heldout_benign,19,0,0.0,0,100,10,1000,False,-1,-1,25.060644682705238,25.060644682705238,0.11962890625,0.13,0.7123786823889579,39.28247731303401
heldout_benign,20,0,0.0,0,100,10,1000,False,-1,-1,26.729622123064466,26.729622123064466,0.12109375,0.11,0.7140916682798086,39.28247731303401
heldout_benign,21,0,0.0,0,100,10,1000,False,-1,-1,34.19033693527663,34.19033693527663,0.12646484375,0.09,0.7123886007028992,39.28247731303401
heldout_benign,22,0,0.0,0,100,10,1000,False,-1,-1,30.552985087003112,30.552985087003112,0.1240234375,0.1,0.7151634764933877,39.28247731303401
heldout_benign,23,0,0.0,0,100,10,1000,False,-1,-1,29.22886218502546,29.22886218502546,0.123046875,0.11,0.7136890402722327,39.28247731303401
heldout_benign,24,0,0.0,0,100,10,1000,False,-1,-1,30.551687368062453,30.551687368062453,0.1240234375,0.1,0.7148029990098711,39.28247731303401
heldout_benign,25,0,0.0,0,100,10,1000,False,-1,-1,23.845941692890662,23.845941692890662,0.11865234375,0.08,0.7129166377218584,39.28247731303401
heldout_benign,26,0,0.0,0,100,10,1000,False,-1,-1,26.782444125124584,26.782444125124584,0.12109375,0.13,0.7132088910742856,39.28247731303401
heldout_benign,27,0,0.0,0,100,10,1000,False,-1,-1,31.304209656719905,31.304209656719905,0.12451171875,0.12,0.7141266314299862,39.28247731303401
heldout_benign,28,0,0.0,0,100,10,1000,False,-1,-1,32.04772016986593,32.04772016986593,0.125,0.13,0.7138340977998399,39.28247731303401
heldout_benign,29,0,0.0,0,100,10,1000,False,-1,-1,26.222249215230093,26.222249215230093,0.12060546875,0.14,0.7129457965688557,39.28247731303401
