split,batch_id,label,size,attacker_ratio,attacker_count,total_queries,bucket_coverage,new_bucket_rate,spread,cost,low_threshold,high_threshold,suspicious
heldout_benign_stream_0,0,0,1500,0.0,0,1500,0.0859375,0.11733333333333333,0.6613604335491331,6.645630245445431,6.247456830231968,9.255091332351716,False
heldout_benign_stream_1,0,0,1500,0.0,0,1500,0.08349609375,0.114,0.6604876918269177,6.16697756360509,6.247456830231968,9.255091332351716,True
heldout_benign_stream_2,0,0,1500,0.0,0,1500,0.083984375,0.11466666666666667,0.6623744560740533,6.2642917770787445,6.247456830231968,9.255091332351716,False
heldout_benign_stream_3,0,0,1500,0.0,0,1500,0.08740234375,0.11933333333333333,0.6603528357763723,6.956447539171698,6.247456830231968,9.255091332351716,False
heldout_benign_stream_4,0,0,1500,0.0,0,1500,0.08544921875,0.11666666666666667,0.6583947576921293,6.535155988615321,6.247456830231968,9.255091332351716,False
heldout_benign_stream_5,0,0,1500,0.0,0,1500,0.0859375,0.11733333333333333,0.6625268709903654,6.649829420233868,6.247456830231968,9.255091332351716,False
heldout_benign_stream_6,0,0,1500,0.0,0,1500,0.0869140625,0.11866666666666667,0.6602071538015709,6.848536751791029,6.247456830231968,9.255091332351716,False
heldout_benign_stream_7,0,0,1500,0.0,0,1500,0.0869140625,0.11866666666666667,0.6606110964656251,6.849990945381624,6.247456830231968,9.255091332351716,False
heldout_benign_stream_8,0,0,1500,0.0,0,1500,0.0869140625,0.11866666666666667,0.6613400684020642,6.852615244352805,6.247456830231968,9.255091332351716,False
heldout_benign_stream_9,0,0,1500,0.0,0,1500,0.09228515625,0.126,0.6604578650849093,8.188502658796024,6.247456830231968,9.255091332351716,False
heldout_benign_stream_10,0,0,1500,0.0,0,1500,0.09130859375,0.12466666666666666,0.6608403752131741,7.918823164704484,6.247456830231968,9.255091332351716,False
heldout_benign_stream_11,0,0,1500,0.0,0,1500,0.08203125,0.112,0.6598789936619676,5.906077774273889,6.247456830231968,9.255091332351716,True
heldout_benign_stream_12,0,0,1500,0.0,0,1500,0.0888671875,0.12133333333333333,0.6608262421290807,7.296528261660977,6.247456830231968,9.255091332351716,False
heldout_benign_stream_13,0,0,1500,0.0,0,1500,0.08935546875,0.122,0.6614652171689105,7.417255389141069,6.247456830231968,9.255091332351716,False
heldout_benign_stream_14,0,0,1500,0.0,0,1500,0.08740234375,0.11933333333333333,0.6593931166463692,6.952992550303687,6.247456830231968,9.255091332351716,False
heldout_benign_stream_15,0,0,1500,0.0,0,1500,0.0927734375,0.12666666666666668,0.6599361511859064,8.32722400745792,6.247456830231968,9.255091332351716,False
heldout_benign_stream_16,0,0,1500,0.0,0,1500,0.08935546875,0.122,0.6606352600123255,7.414267543377363,6.247456830231968,9.255091332351716,False
heldout_benign_stream_17,0,0,1500,0.0,0,1500,0.09130859375,0.12466666666666666,0.6616051823638311,7.92157647044685,6.247456830231968,9.255091332351716,False
heldout_benign_stream_18,0,0,1500,0.0,0,1500,0.0830078125,0.11333333333333333,0.6608422797179141,6.079910532125069,6.247456830231968,9.255091332351716,True
heldout_benign_stream_19,0,0,1500,0.0,0,1500,0.0859375,0.11733333333333333,0.657558387164287,6.631942878459985,6.247456830231968,9.255091332351716,False
heldout_benign_stream_20,0,0,1500,0.0,0,1500,0.08251953125,0.11266666666666666,0.6630717816152679,6.001717982802578,6.247456830231968,9.255091332351716,True
heldout_benign_stream_21,0,0,1500,0.0,0,1500,0.09375,0.128,0.6636008069465468,8.632187690593277,6.247456830231968,9.255091332351716,False
heldout_benign_stream_22,0,0,1500,0.0,0,1500,0.08740234375,0.11933333333333333,0.6591630540789469,6.952164325060966,6.247456830231968,9.255091332351716,False
heldout_benign_stream_23,0,0,1500,0.0,0,1500,0.09033203125,0.12333333333333334,0.661100328884406,7.661677680557017,6.247456830231968,9.255091332351716,False
heldout_benign_stream_24,0,0,1500,0.0,0,1500,0.08935546875,0.122,0.6613471677011705,7.416830411057205,6.247456830231968,9.255091332351716,False
heldout_benign_stream_25,0,0,1500,0.0,0,1500,0.087890625,0.12,0.6572676942436032,7.05538535551703,6.247456830231968,9.255091332351716,False
heldout_benign_stream_26,0,0,1500,0.0,0,1500,0.08642578125,0.118,0.6563209562772262,6.72975279343814,6.247456830231968,9.255091332351716,False
heldout_benign_stream_27,0,0,1500,0.0,0,1500,0.0869140625,0.11866666666666667,0.6622822398973057,6.856007061735674,6.247456830231968,9.255091332351716,False
heldout_benign_stream_28,0,0,1500,0.0,0,1500,0.09521484375,0.13,0.6612158976828647,9.089042129195182,6.247456830231968,9.255091332351716,False
heldout_benign_stream_29,0,0,1500,0.0,0,1500,0.099609375,0.136,0.661441768374586,10.711226922865496,6.247456830231968,9.255091332351716,True
heldout_benign_stream_30,0,0,1500,0.0,0,1500,0.08544921875,0.11666666666666667,0.6591778996335051,6.537975299604273,6.247456830231968,9.255091332351716,False
heldout_benign_stream_31,0,0,1500,0.0,0,1500,0.08984375,0.12266666666666666,0.6612850022156458,7.537969531161669,6.247456830231968,9.255091332351716,False
heldout_benign_stream_32,0,0,1500,0.0,0,1500,0.09521484375,0.13,0.6598350569448033,9.08407110253816,6.247456830231968,9.255091332351716,False
heldout_benign_stream_33,0,0,1500,0.0,0,1500,0.091796875,0.12533333333333332,0.6624130264552679,8.058350475060504,6.247456830231968,9.255091332351716,False
heldout_benign_stream_34,0,0,1500,0.0,0,1500,0.08544921875,0.11666666666666667,0.6586388300028229,6.536034648933818,6.247456830231968,9.255091332351716,False
heldout_benign_stream_35,0,0,1500,0.0,0,1500,0.09521484375,0.13,0.6612738160457222,9.089250635301468,6.247456830231968,9.255091332351716,False
heldout_benign_stream_36,0,0,1500,0.0,0,1500,0.0830078125,0.11333333333333333,0.6623012285704827,6.085162747994316,6.247456830231968,9.255091332351716,True
heldout_benign_stream_37,0,0,1500,0.0,0,1500,0.08642578125,0.118,0.6611836132997829,6.747258358719344,6.247456830231968,9.255091332351716,False
heldout_benign_stream_38,0,0,1500,0.0,0,1500,0.0927734375,0.12666666666666668,0.6626872188991559,8.337127851225617,6.247456830231968,9.255091332351716,False
heldout_benign_stream_39,0,0,1500,0.0,0,1500,0.09228515625,0.126,0.6598239159180851,8.186220441795456,6.247456830231968,9.255091332351716,False
heldout_benign_stream_40,0,0,1500,0.0,0,1500,0.08203125,0.112,0.6584184246221281,5.900819725730467,6.247456830231968,9.255091332351716,True
heldout_benign_stream_41,0,0,1500,0.0,0,1500,0.08935546875,0.122,0.6616891635306985,7.418061596043506,6.247456830231968,9.255091332351716,False
heldout_benign_stream_42,0,0,1500,0.0,0,1500,0.09521484375,0.13,0.6592550042105966,9.081982912695016,6.247456830231968,9.255091332351716,False
heldout_benign_stream_43,0,0,1500,0.0,0,1500,0.08642578125,0.118,0.6570000193104564,6.732197420357768,6.247456830231968,9.255091332351716,False
heldout_benign_stream_44,0,0,1500,0.0,0,1500,0.08447265625,0.11533333333333333,0.6610224198060528,6.352179493765584,6.247456830231968,9.255091332351716,False
heldout_benign_stream_45,0,0,1500,0.0,0,1500,0.0859375,0.11733333333333333,0.6600957893570122,6.641077526353795,6.247456830231968,9.255091332351716,False
